feature,importance
NumOfProducts,0.057599999999999964
Age,0.037800000000000014
IsActiveMember,0.027600000000000003
Geography_Germany,0.014099999999999979
Balance,0.006399999999999961
BalanceToSalary,0.002699999999999969
Tenure,0.002499999999999969
EstimatedSalary,0.0016999999999999682
AgeBucket_31-40,0.0011999999999999789
AgeBucket_60+,0.0006999999999999674
HasCrCard,0.0006000000000000005
TenureBucket_6-10,0.0004999999999999672
TenureBucket_3-5,0.00019999999999997797
Geography_Spain,9.999999999998899e-05
Gender_Male,9.999999999994457e-05
AgeBucket_51-60,-0.0003000000000000336
AgeBucket_41-50,-0.0016000000000000237
CreditScore,-0.0026000000000000467
